Title, Year, Rating, Cast
The Shawshank Redemption,1994,9.3,Frank Darabont; Tim Robbins; Morgan Freeman; Bob Gunton; William Sadler;
The Godfather,1972,9.2,Francis Ford Coppola; Marlon Brando; Al Pacino; James Caan; Diane Keaton;
The Dark Knight,2008,9.0,Christopher Nolan; Christian Bale; Heath Ledger; Aaron Eckhart; Michael Caine;
The Godfather: Part II,1974,9.0,Francis Ford Coppola; Al Pacino; Robert De Niro; Robert Duvall; Diane Keaton;
The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson; Elijah Wood; Viggo Mortensen; Ian McKellen; Orlando Bloom;
Pulp Fiction,1994,8.9,Quentin Tarantino; John Travolta; Uma Thurman; Samuel L. Jackson; Bruce Willis;
Schindler's List,1993,8.9,Oskar Schindler; Steven Spielberg; Liam Neeson; Ralph Fiennes; Ben Kingsley; Caroline Goodall;
12 Angry Men,1957,8.9,Sidney Lumet; Henry Fonda; Lee J. Cobb; Martin Balsam; John Fiedler;
Inception,2010,8.8,Christopher Nolan; Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page; Ken Watanabe;
Fight Club,1999,8.8,David Fincher; Brad Pitt; Edward Norton; Meat Loaf; Zach Grenier;
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson; Elijah Wood; Ian McKellen; Orlando Bloom; Sean Bean;
Forrest Gump,1994,8.8,Robert Zemeckis; Tom Hanks; Robin Wright; Gary Sinise; Sally Field;
Il buono| il brutto| il cattivo,1966,8.8,Sergio Leone; Clint Eastwood; Eli Wallach; Lee Van Cleef; Aldo Giuffrè;
Ayla: The Daughter of War,2017,8.7,See full summary; Can Ulkay; Çetin Tekindor; Ismail Hacioglu; Kyung-jin Lee; Kim Seol;
Avengers: Endgame,2019,8.7,Avengers: Infinity War; Anthony Russo; Joe Russo; Robert Downey Jr.; Chris Evans; Mark Ruffalo; Chris Hemsworth;
The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson; Elijah Wood; Ian McKellen; Viggo Mortensen; Orlando Bloom;
The Matrix,1999,8.7,Lana Wachowski; Lilly Wachowski; Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss; Hugo Weaving;
Goodfellas,1990,8.7,Martin Scorsese; Robert De Niro; Ray Liotta; Joe Pesci; Lorraine Bracco;
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner; Mark Hamill; Harrison Ford; Carrie Fisher; Billy Dee Williams;
